Title,Author,Abstract,Title_URL,Year,Publish,IF,Quote
Efficiency of the spermatogenesis in zebu bulls (Bos taurus indicus).,"Andreussi PA, Costa DS, Faria FJ, Fernandes CA, Guimar?es JD.","The objective of the research was to evaluate the efficiency of the spermatogenesis through the morphology of the testicular parenchyma in bulls of different zebu breeds. We used testicular fragments from bull of the breeds Nelore (n = 10), Polled Nelore (n = 6), Gyr (n = 5), Guzerat (n = 5) and Tabapu茫 (n = 5). The tissue was perfused with Karnovsky solution, included in glycol methacrylate and stained with toluidine blue-sodium borate 1%. Animals of the Nelore breed presented higher population of primary spermatocyte in pre-leptotene/leptotene (38.30) and in pachytene (38.14) and round spermatids (113.30), higher yield of spermatogonia mitosis (21.2) and higher daily spermatic production per gram of testicular parenchyma (32.8 脳 10(6) ) than those from breeds Gyr, Guzerat and Tabapu茫 and higher general yield of spermatogenesis (62.4) than breeds Gyr and Tabapu茫. There was no significant difference in any of the evaluated parameters between breeds Nelore and Polled Nelore. The rate of Sertoli cells did not vary between the studied breeds. Apparently, the genetic selection applied to the breeds has been improving the yield in the spermatogenic process by decreasing cellular loss, although it did not increase the support capacity of the Sertoli cells.",https://www.ncbi.nlm.nih.gov/pubmed/23617732,2014,Anat Histol Embryol,0.731,2
A 3.7 Mb deletion encompassing ZEB2 causes a novel polled and multisystemic syndrome in the progeny of a somatic mosaic bull.,"Capitan A, Allais-Bonnet A, Pinton A, Marquant-Le Guienne B, Le Bourhis D, Grohs C, Bouet S, Clément L, Salas-Cortes L, Venot E, Chaffaux S, Weiss B, Delpeuch A, Noé G, Rossignol MN, Barbey S, Dozias D, Cobo E, Barasc H, Auguste A, Pannetier M, Deloche MC, Lhuilier E, Bouchez O, Esquerré D, Salin G, Klopp C, Donnadieu C, Chantry-Darmon C, Hayes H, Gallard Y, Ponsart C, Boichard D, Pailhoux E.","Polled and Multisystemic Syndrome (PMS) is a novel developmental disorder occurring in the progeny of a single bull. Its clinical spectrum includes polledness (complete agenesis of horns), facial dysmorphism, growth delay, chronic diarrhea, premature ovarian failure, and variable neurological and cardiac anomalies. PMS is also characterized by a deviation of the sex-ratio, suggesting male lethality during pregnancy. Using Mendelian error mapping and whole-genome sequencing, we identified a 3.7 Mb deletion on the paternal bovine chromosome 2 encompassing ARHGAP15, GTDC1 and ZEB2 genes. We then produced control and affected 90-day old fetuses to characterize this syndrome by histological and expression analyses. Compared to wild type individuals, affected animals showed a decreased expression of the three deleted genes. Based on a comparison with human Mowat-Wilson syndrome, we suggest that deletion of ZEB2, is responsible for most of the effects of the mutation. Finally sperm-FISH, embryo genotyping and analysis of reproduction records confirmed somatic mosaicism in the founder bull and male-specific lethality during the first third of gestation. In conclusion, we identified a novel locus involved in bovid horn ontogenesis and suggest that epithelial-to-mesenchymal transition plays a critical role in horn bud differentiation. We also provide new insights into the pathogenicity of ZEB2 loss of heterozygosity in bovine and humans and describe the first case of male-specific lethality associated with an autosomal locus in a non-murine mammalian species. This result sets PMS as a unique model to study sex-specific gene expression/regulation.",https://www.ncbi.nlm.nih.gov/pubmed/23152852,2012,PLoS One,2.766,18
Bovine polledness--an autosomal dominant trait with allelic heterogeneity.,"Medugorac I, Seichter D, Graf A, Russ I, Blum H, G?pel KH, Rothammer S, F?rster M, Krebs S.","The persistent horns are an important trait of speciation for the family Bovidae with complex morphogenesis taking place briefly after birth. The polledness is highly favourable in modern cattle breeding systems but serious animal welfare issues urge for a solution in the production of hornless cattle other than dehorning. Although the dominant inhibition of horn morphogenesis was discovered more than 70 years ago, and the causative mutation was mapped almost 20 years ago, its molecular nature remained unknown. Here, we report allelic heterogeneity of the POLLED locus. First, we mapped the POLLED locus to a 鈭?81-kb interval in a multi-breed case-control design. Targeted re-sequencing of an enlarged candidate interval (547 kb) in 16 sires with known POLLED genotype did not detect a common allele associated with polled status. In eight sires of Alpine and Scottish origin (four polled versus four horned), we identified a single candidate mutation, a complex 202 bp insertion-deletion event that showed perfect association to the polled phenotype in various European cattle breeds, except Holstein-Friesian. The analysis of the same candidate interval in eight Holsteins identified five candidate variants which segregate as a 260 kb haplotype also perfectly associated with the POLLED gene without recombination or interference with the 202 bp insertion-deletion. We further identified bulls which are progeny tested as homozygous polled but bearing both, 202 bp insertion-deletion and Friesian haplotype. The distribution of genotypes of the two putative POLLED alleles in large semi-random sample (1,261 animals) supports the hypothesis of two independent mutations.",https://www.ncbi.nlm.nih.gov/pubmed/22737241,2012,PLoS One,2.766,74
A quasi-exclusive European ancestry in the Senepol tropical cattle breed highlights the importance of the slick locus in tropical adaptation.,"Flori L, Gonzatti MI, Thevenon S, Chantal I, Pinto J, Berthier D, Aso PM, Gautier M.","The Senepol cattle breed (SEN) was created in the early XX(th) century from a presumed cross between a European (EUT) breed (Red Poll) and a West African taurine (AFT) breed (N'Dama). Well adapted to tropical conditions, it is also believed trypanotolerant according to its putative AFT ancestry. However, such origins needed to be verified to define relevant husbandry practices and the genetic background underlying such adaptation needed to be characterized.",https://www.ncbi.nlm.nih.gov/pubmed/22675421,2012,PLoS One,2.766,34
SNP-based association mapping of the polled gene in divergent cattle breeds.,"Seichter D, Russ I, Rothammer S, Eder J, F?rster M, Medugorac I.","Naturally, hornless cattle are called polled. Although the POLL locus could be assigned to a c. 1.36-Mb interval in the centromeric region of BTA1, the underlying genetic basis for the polled trait is still unknown. Here, an association mapping design was set up to refine the candidate region of the polled trait for subsequent high-throughput sequencing. The case group comprised 101 homozygous polled animals from nine divergent cattle breeds, the majority represented by Galloway, Angus, Fleckvieh and Holstein Friesian. Additionally, this group included some polled individuals of Blonde d'Aquitaine, Charolais, Hereford, Jersey and Limousin breeds. The control group comprised horned Belgian Blue, Fleckvieh, Holstein Friesian and Illyrian Bu拧a cattle. A genome-wide scan using 49,163 SNPs was performed, which revealed one shared homozygous haplotype block consisting of nine neighbouring SNPs in all polled animals. This segment defines a 381-kb interval on BTA1 that we consider to be the most likely location of the POLL mutation. Our results further demonstrate that the polled-associated haplotype is also frequent in horned animals included in this study, and thus the haplotype as such cannot be used for population-wide genetic testing. The actual trait-associated haplotype may be revealed by using higher-density SNP arrays. For the final identification of the causal mutation, we suggest high-throughput sequencing of the entire candidate region, because the identification of functional candidate genes is difficult owing to the lack of a comparable model.",https://www.ncbi.nlm.nih.gov/pubmed/22497248,2012,Anim Genet,1.841,37
Intravaginal progesterone devices in synchronization protocols for artificial insemination in beef heifers.,"Martinez MF, de Nava G, Demmers KJ, Tutt D, Rodriguez Sabarrós M, Smaill B, Corti M, Juengel J.","Two experiments were designed to investigate the administration of intravaginal progesterone in protocols for oestrus and ovulation synchronization in beef heifers. In Experiment 1, cyclic Black Angus heifers (n = 20) received an Ovsynch protocol and were randomly assigned to receive (CIDR-Ovsynch) or not (Ovsynch) a progesterone device between Days 0 and 7. Treatment with a controlled internal drug release (CIDR) device significantly increased the size of the dominant follicle prior to ovulation (12.8 卤 0.4 CIDR-Ovsynch vs 11.4 卤 0.4 Ovsynch) (p < 0.02). Plasma progesterone concentrations throughout the experiment were affected by the interaction between group and day effects (p < 0.004). In Experiment 2, cyclic Polled Hereford heifers (n = 382) were randomly assigned to one of the six treatment groups (3鈥兠椻€? factorial design) to receive a CIDR, a used bovine intravaginal device (DIB), or a medroxiprogesterone acetate (MAP) sponge and GnRH analogues (lecirelin or buserelin). All heifers received oestradiol benzoate plus one of the devices on Day 0 and PGF on Day 7 pm (device withdrawal). Heifers were detected in oestrus 36 h after PGF and inseminated 8-12 h later, while the remainder received GnRH 48鈥僪 after PGF and were inseminated on Day 10 (60 h). The number of heifers detected in oestrus on Day 8 and conception rate to AI on Day 9 were higher (p < 0.01) in the used-DIB than in the CIDR or MAP groups, while the opposite occurred with the pregnancy rate to FTAI on Day 10 (p < 0.01). There was no effect of progesterone source, GnRH analogue or their interaction on overall pregnancy rates (64.9%). Progesterone treatment of heifers during an Ovsynch protocol resulted in a larger pre-ovulatory follicle in beef heifers. Progesterone content of intravaginal devices in synchronization protocols is important for the timing of AI, as the use of low-progesterone devices can shorten the interval to oestrus.",https://www.ncbi.nlm.nih.gov/pubmed/21883507,2012,Reprod Domest Anim,1.422,6
Genetic structure of the European Charolais and Limousin cattle metapopulations using pedigree analyses.,"Bouquet A, Venot E, Lalo? D, Forabosco F, Fogh A, Pabiou T, Moore K, Eriksson J?, Renand G, Phocas F.","Pedigree collected by the Interbeef service allowed genetic diversity to be assessed by using pedigree analyses for the European Charolais (CHA) and Limousin (LIM) cattle populations registered in national herdbooks in Denmark (DNK), France (FRA), Ireland (IRL), Sweden (SWE), and, solely for the LIM breed, the United Kingdom (UK). The CHA data set included 2,563,189 calves with weaning performance, of which 96.1% were recorded in FRA, 3.0% in SWE, 0.5% in IRL, and 0.4% in DNK. The LIM data set included 1,652,734 calves with weaning performance, of which 91.9% were recorded in FRA, 4.9% in UK, 1.8% in DNK, 0.9% SWE, and 0.5% in IRL. Pedigree files included 3,191,132 CHA and 2,409,659 LIM animals. Gene flows were rather limited between populations, except from FRA toward other countries. Pedigree completeness was good in all subpopulations for both breeds and allowed the pedigree to be traced back to the French population. A relatively high level of genetic diversity was assessed in each CHA and LIM subpopulation by estimating either effective population sizes (N(e) >244 and N(e) >345 in the CHA and LIM subpopulations, respectively), relationship coefficients within subpopulations (<1.3% in both breeds), or probability of gene origins. However, in each subpopulation, it was shown that founders and also ancestors had unbalanced genetic contributions, leading to a moderate but continuous reduction in genetic diversity. Analyses between populations suggested that all European CHA and LIM populations were differentiated very little. The Swedish CHA population was assessed as genetically more distant from the other CHA populations because of fewer gene flows from other countries and because of the use of North American sires to introgress the polled phenotype. In each European subpopulation, most of the main ancestors, which explained 50% of gene origin, were born in FRA. However, those main ancestors were different between countries. Moreover, in both breeds, the main ancestors, which explained 50% of the gene origin in DNK, IRL, SWE, and UK for the LIM breed, were found to be infrequently used in FRA. Those results were consistent with the low relationship coefficients estimated between subpopulations (<0.6% in both the CHA and LIM breeds). Therefore, in both breeds, each subpopulation may constitute a reservoir of genetic diversity for the other ones.",https://www.ncbi.nlm.nih.gov/pubmed/21606443,2011,J Anim Sci,1.711,19
Transcription profiling provides insights into gene pathways involved in horn and scurs development in cattle.,"Mariasegaram M, Reverter A, Barris W, Lehnert SA, Dalrymple B, Prayaga K.","Two types of horns are evident in cattle - fixed horns attached to the skull and a variation called scurs, which refers to small loosely attached horns. Cattle lacking horns are referred to as polled. Although both the Poll and Scurs loci have been mapped to BTA1 and 19 respectively, the underlying genetic basis of these phenotypes is unknown, and so far, no candidate genes regulating these developmental processes have been described. This study is the first reported attempt at transcript profiling to identify genes and pathways contributing to horn and scurs development in Brahman cattle, relative to polled counterparts.",https://www.ncbi.nlm.nih.gov/pubmed/20537189,2010,BMC Genomics,3.73,25
Identification of selection signatures in cattle breeds selected for dairy production.,"Stella A, Ajmone-Marsan P, Lazzari B, Boettcher P.","The genomics revolution has spurred the undertaking of HapMap studies of numerous species, allowing for population genomics to increase the understanding of how selection has created genetic differences between subspecies populations. The objectives of this study were to (1) develop an approach to detect signatures of selection in subsets of phenotypically similar breeds of livestock by comparing single nucleotide polymorphism (SNP) diversity between the subset and a larger population, (2) verify this method in breeds selected for simply inherited traits, and (3) apply this method to the dairy breeds in the International Bovine HapMap (IBHM) study. The data consisted of genotypes for 32,689 SNPs of 497 animals from 19 breeds. For a given subset of breeds, the test statistic was the parametric composite log likelihood (CLL) of the differences in allelic frequencies between the subset and the IBHM for a sliding window of SNPs. The null distribution was obtained by calculating CLL for 50,000 random subsets (per chromosome) of individuals. The validity of this approach was confirmed by obtaining extremely large CLLs at the sites of causative variation for polled (BTA1) and black-coat-color (BTA18) phenotypes. Across the 30 bovine chromosomes, 699 putative selection signatures were detected. The largest CLL was on BTA6 and corresponded to KIT, which is responsible for the piebald phenotype present in four of the five dairy breeds. Potassium channel-related genes were at the site of the largest CLL on three chromosomes (BTA14, -16, and -25) whereas integrins (BTA18 and -19) and serine/arginine rich splicing factors (BTA20 and -23) each had the largest CLL on two chromosomes. On the basis of the results of this study, the application of population genomics to farm animals seems quite promising. Comparisons between breed groups have the potential to identify genomic regions influencing complex traits with no need for complex equipment and the collection of extensive phenotypic records and can contribute to the identification of candidate genes and to the understanding of the biological mechanisms controlling complex traits.",https://www.ncbi.nlm.nih.gov/pubmed/20479146,2010,Genetics,4.075,101
Genetic structure of Eurasian cattle (Bos taurus) based on microsatellites: clarification for their breed classification.,"Li MH, Kantanen J.","We pool three previously published data sets and present population genetic analyses of microsatellite variation in 48 Bos taurus cattle breeds from a wide range of geographical origins in Eurasia, mostly its northern territory. Bayesian model-based clustering reveals six distinct clusters: besides a single-population cluster of the Yakutian Cattle from Far Eastern Siberia and a cluster of breeds characteristic of an early origin, the other four major clusters largely correspond to previously defined morphological subgroups of Red Lowland, Lowland Black-Pied, Longhorned Dairy and North European Polled cattle breeds. The results highlighted past expansion events of the productive breeds such as Danish Red, Angeln, Holstein-Friesian and Ayrshire in northern and Eastern Europe. Based on genetic assignment of the breeds and the availability of breed information, we provide a preliminary classification of the five breeds that were to date undefined. Furthermore, in the analysis of molecular variance, despite some correspondence between geographical proximity and genetic similarity, the breed classification appears to be a better predictor of genetic structure in the cattle populations (the among-group variance component: breed classification, 2.47%, P < 0.001; geographical division, 0.77%, P < 0.001).",https://www.ncbi.nlm.nih.gov/pubmed/19845598,2010,Anim Genet,1.841,33
The scurs inheritance: new insights from the French Charolais breed.,"Capitan A, Grohs C, Gautier M, Eggen A.","Polled animals are valued in cattle industry because the absence of horns has a significant economic impact. However, some cattle are neither polled nor horned but have so-called scurs on their heads, which are corneous growths loosely attached to the skull. A better understanding of the genetic determinism of the scurs phenotype would help to fine map the polled locus. To date, only one study has attempted to map the scurs locus in cattle. Here, we have investigated the inheritance of the scurs phenotype in the French Charolais breed and examined whether the previously proposed localisation of the scurs locus on bovine chromosome 19 could be confirmed or not.",https://www.ncbi.nlm.nih.gov/pubmed/19575823,2009,BMC Genet,2.469,27
Single nucleotide polymorphisms concordant with the horned/polled trait in Holsteins.,"Cargill EJ, Nissing NJ, Grosz MD.","Cattle that naturally do not grow horns are referred to as polled, a trait inherited in a dominant Mendelian fashion. Previous studies have localized the polled mutation (which is unknown) to the proximal end of bovine chromosome 1 in a region approximately 3 Mb in size. While a polled genetic test, Tru-Polledtrade mark, is commercially available from MetaMorphix Inc., Holsteins are not a validated breed for this test.",https://www.ncbi.nlm.nih.gov/pubmed/19063733,2008,BMC Res Notes,Not Found,28
A 4 Mb high resolution BAC contig on bovine chromosome 1q12 and comparative analysis with human chromosome 21q22.,"Dr?gemüller C, W?hlke A, Leeb T, Distl O.","The bovine RPCI-42 BAC library was screened to construct a sequence-ready ~4 Mb single contig of 92 BAC clones on BTA 1q12. The contig covers the region between the genes KRTAP8P1 and CLIC6. This genomic segment in cattle is of special interest as it contains the dominant gene responsible for the hornless or polled phenotype in cattle. The construction of the BAC contig was initiated by screening the bovine BAC library with heterologous cDNA probes derived from 12 human genes of the syntenic region on HSA 21q22. Contig building was facilitated by BAC end sequencing and chromosome walking. During the construction of the contig, 165 BAC end sequences and 109 single-copy STS markers were generated. For comparative mapping of 25 HSA 21q22 genes, genomic PCR primers were designed from bovine EST sequences and the gene-associated STSs mapped on the contig. Furthermore, bovine BAC end sequence comparisons against the human genome sequence revealed significant matches to HSA 21q22 and allowed the in silico mapping of two new genes in cattle. In total, 31 orthologues of human genes located on HSA 21q22 were directly mapped within the bovine BAC contig, of which 16 genes have been cloned and mapped for the first time in cattle. In contrast to the existing comparative bovine-human RH maps of this region, these results provide a better alignment and reveal a completely conserved gene order in this 4 Mb segment between cattle, human and mouse. The mapping of known polled linked BTA 1q12 microsatellite markers allowed the integration of the physical contig map with existing linkage maps of this region and also determined the exact order of these markers for the first time. Our physical map and transcript map may be useful for positional cloning of the putative polled gene in cattle.",https://www.ncbi.nlm.nih.gov/pubmed/18629192,2005,Comp Funct Genomics,Not Found,15
Factors affecting the selling price of feeder cattle sold at Arkansas livestock auctions in 2005.,"Barham BL, Troxel TR.","Data were collected from 15 Arkansas livestock auctions to determine factors affecting selling price. Data included how calves were sold (single or groups), sex, breed or breed type, color, muscle thickness, horn status, frame score, fill, body condition, age, health, BW, and price. Data were randomly collected on 52,401 lots consisting of 105,542 calves. Selling prices for steers ($124.20 +/- 0.07), bulls ($117.93 +/- 0.12), and heifers ($112.81 +/- 0.07) were different from each other (P <0.001). Hereford x Charolais feeder calves sold for the highest price ($122.66 +/- 0.14) and Longhorns sold for the lowest price ($74.52 +/- 0.46). Yellow feeder cattle received the highest selling price ($96.47 +/- 0.12), and spotted or striped feeder cattle received the lowest price ($83.84 +/- 0.23). The selling price of singles was lower than the price for calves sold in groups of 6 or more ($117.26 +/- 0.06 vs. $122.61 +/- 0.21; P <0.001). For cattle classified as having muscle scores of 1, 2, 3, and 4, selling prices were $120.45 +/- 0.05, $111.31 +/- 0.09, $96.28 +/- 0.44, and $82.21 +/- 1.87, respectively. Polled feeder cattle sold for $118.57 +/- 0.05, and horned feeder cattle sold for $114.87 +/- 0.14 (P <0.001). Interactions (P <0.001) were detected between frame score and BW groups, and muscle score and BW groups on the selling price of cattle. A number of management and genetic factors affected the selling price of feeder cattle.",https://www.ncbi.nlm.nih.gov/pubmed/17709785,2007,J Anim Sci,1.711,55
Cow and calf performance on Coastal or Tifton 85 Bermudagrass pastures with aeschynomene creep-grazing paddocks.,"Corriher VA, Hill GM, Andrae JG, Froetschel MA, Mullinix BG Jr.","Cow and calf performance was determined in a 2-yr, 2 x 2 factorial, grazing experiment using Coastal or Tifton 85 (T85) replicated Bermudagrass pastures (4 pastures each; each pasture 4.86 ha), without or with aeschynomene creep-grazing paddocks (n = 4, 0.202 ha each, planted in May of each year, 13.44 kg/ha). On June 10, 2004, and June 8, 2005, 96 winter-calving beef ""tester"" cows and their calves were grouped by cow breed (9 Angus and 3 Polled Hereford/group), initial cow BW (592.9 +/- 70.1 kg, 2-yr mean), age of dam, calf breed (Angus, Polled Hereford, or Angus x Polled Hereford), calf sex, initial calf age (117 +/- 20.1 d, 2-yr mean), and initial calf BW (161.3 +/- 30.4 kg) and were randomly assigned to pastures. Additional cow-calf pairs and open cows were added as the forage increased during the season. Forage mass was similar for all treatment pastures (P > 0.70; 2-yr mean, 6,939 vs. 6,628 kg/ha, Coastal vs. T85; 6,664 vs. 6,896 kg/ha, no creep grazing vs. creep grazing). Main effect interactions did not occur for performance variables (P > 0.10; 2-yr means), and year affected only the initial and final BW of the calves and cows. The 91-d tester calf ADG was greater for calves grazing T85 than Coastal (0.94 vs. 0.79 kg; P < 0.01), and for calves creep grazing aeschynomene compared with calves without creep grazing (0.90 vs. 0.82 kg; P < 0.03). Calf 205-d adjusted weaning weights were increased for calves grazing T85 compared with Coastal (252.9 vs. 240.3 kg; P < 0.01) and for calves with access to creep grazing (249.9 vs. 243.3 kg; P < 0.05). The IVDMD of esophageal masticate from pastures had a forage x creep grazing interaction (P < 0.05; Coastal, no creep grazing = 57.4%; Coastal, creep grazing = 52.1%; T85, no creep grazing = 59.1%; T85, creep grazing = 60.0%), and IVDMD was greater (P < 0.05) for T85 than for Coastal pastures. Cows were milked in August 2004, and in June and August 2005, with variable milk yields on treatments, but increased milk protein (P < 0.05) for cows grazing T85 compared with Coastal pastures in August each year, contributing to increased calf gains on T85 pastures. These results complement previous research with T85 and indicate increased forage quality and performance of cattle grazing T85 pastures. Calf gains on T85 pastures and for calves on creep-grazed aeschynomene paddocks were high enough to influence the efficiency of cow-calf operations.",https://www.ncbi.nlm.nih.gov/pubmed/17526661,2007,J Anim Sci,1.711,20
The effect of veterinary-treated clinical mastitis and pregnancy status on culling in Swedish dairy cows.,"Schneider Mdel P, Strandberg E, Emanuelson U, Grandinson K, Roth A.","The interaction of the effects of pregnancy status and veterinary-treated clinical mastitis on culling in Swedish dairy cattle was analyzed with survival analysis. The data were from 978,780 cows with first calvings between 1988 and 1996. Four breeds (Swedish Red and White (SRB), Swedish Friesian (SLB), Swedish Polled Breed and Jersey) were included in the analysis, together with the SRB x SLB crossbreds. Length of productive life was defined as the number of days between first calving and culling or censoring (end of data collection). The model (Weibull proportional hazard) included the interaction of parity by pregnancy status by veterinary-treated clinical mastitis, peak test-day milk-yield deviation within herd-year-parity, age at first calving, year by season, region, breed, herd production level, and the random effect of herd. The effects of pregnancy status and veterinary-treated clinical mastitis were modeled as time-dependent covariates. The lactation was divided into five stages during which a veterinary-treated clinical mastitis and culling might occur and in which the pregnancy status was assumed to be known and culling could occur. Open cows had a pronounced effect on culling: they had a very high risk of being culled in all lactations, and it was even higher if they were treated for mastitis in early lactation. For pregnant cows, the later they got pregnant during the lactation, the greater their risk to be culled. The risk associated with cases of veterinary-treated clinical mastitis remained important throughout the lactation.",https://www.ncbi.nlm.nih.gov/pubmed/17416430,2007,Prev Vet Med,1.924,50
"A 2.5-Mb contig constructed from Angus, Longhorn and horned Hereford DNA spanning the polled interval on bovine chromosome 1.","Wunderlich KR, Abbey CA, Clayton DR, Song Y, Schein JE, Georges M, Coppieters W, Adelson DL, Taylor JF, Davis SL, Gill CA.","The polled locus has been mapped by genetic linkage analysis to the proximal region of bovine chromosome 1. As an intermediate step in our efforts to identify the polled locus and the underlying causative mutation for the polled phenotype, we have constructed a BAC-based physical map of the interval containing the polled locus. Clones containing genes and markers in the critical interval were isolated from the TAMBT (constructed from Angus and Longhorn genomic DNA) and CHORI-240 (constructed from horned Hereford genomic DNA) BAC libraries and ordered based on fingerprinting and the presence or absence of 80 STS markers. A single contig spanning 2.5 Mb was assembled. Comparison of the physical order of STSs to the corresponding region of human chromosome 21 revealed the same order of genes within the polled critical interval. This contig of overlapping BAC clones from horned and polled breeds is a useful resource for SNP discovery and characterization of positional candidate genes.",https://www.ncbi.nlm.nih.gov/pubmed/17121607,2006,Anim Genet,1.841,13
Semiparametric animal models via penalized splines as alternatives to models with contemporary groups.,"Cantet RJ, Birchmeier AN, Canaza Cayo AW, Fioretti C.","Contemporary groups (CG) are used in genetic evaluation to account for systematic environmental effects of management, nutritional level, or any other differentially expressed group effect; however, because the functional form of the distribution of those effects is unknown, CG serve as an approximation to a time-varying mean. Conversely, in semiparametric models, there is no need to assume any functional form for the time-varying effects. In this research, we present a semiparametric animal model (AMS) using the covariate day of birth (DOB) by means of penalized splines (P-splines), as an alternative to fitting CG. In the AMS, the functionality of the data on DOB is expressed by means of a Basic segmented polynomial line (B-spline) basis, and proper covariance matrices are used to reflect the serial correlation among the points of support (or knots) at different times. Three different covariance matrices that reflect either short- or long-range dependences among knots are discussed. Different models were fitted to birth weight data from Polled Hereford calves. Models compared were an animal model with CG, an animal model with CG and the covariate DOB nested within CG (CG + DOB), and P-splines with the first difference penalty matrix and three different AMS with 20, 40, 60, 80, or 120 knots. Models were compared using a modified Akaike information criterion (AICC), which was calculated as a byproduct of the estimation of variance components by REML using the expectation maximization algorithm. All three AMS had smaller (better) values of AICC than the regular model with CG, while producing almost the same ranking of predicted breeding values and similar average predicted error variance. In all AMS, the inference and all measures of comparison were similar when the number of knots was equal > or = 40. The model CG + DOB had analogous performance to the AMS, but at the expense of using more parameters. It is concluded that the use of penalized regression splines using a B-spline basis with proper covariance matrices is a competitive method to the fitting of CG into animal models for genetic evaluation, without having to assume any functional form for the covariate DOB.",https://www.ncbi.nlm.nih.gov/pubmed/16230644,2005,J Anim Sci,1.711,16
Fine mapping of the polled locus to a 1-Mb region on bovine chromosome 1q12.,"Dr?gemüller C, W?hlke A, M?mke S, Distl O.","The absence of horns in Bos taurus is under genetic control of the autosomal dominant polled locus which has been genetically mapped to the centromeric region of cattle Chromosome 1. Recently a 4-Mb BAC contig of this chromosomal region has been constructed. Toward positional cloning of the bovine polled locus, we identified 20 additional microsatellite markers spread over the contig map by random sequencing of bacterial artificial chromosome (BAC) subclones. A total of 26 markers were genotyped in 30 two-generation half-sib families of six different German cattle breeds segregating for the hornless phenotype including 336 informative meioses for the polled character. Our fine-mapping study involving 19 recombinant haplotypes allowed us to narrow the critical region for the bovine polled locus to a 1-Mb segment with a centromeric boundary at RP42-218J17_MS1 and a telomeric boundary at BM6438. For marker-assisted selection purposes, the first evidence of informative flanking markers helps to predict polled genotypes with a higher degree of accuracy within families until testing of the causative mutation is available.",https://www.ncbi.nlm.nih.gov/pubmed/16180143,2005,Mamm Genome,2.687,61
"Intake, digestion, and N metabolism in steers fed endophyte-free, ergot alkaloid-producing endophyte-infected, or nonergot alkaloid-producing endophyte-infected fescue hay.","Matthews AK, Poore MH, Huntington GB, Green JT.","A digestion and N balance trial was conducted to compare effects of traditional endophyte-infected (E+), endophyte-free (E-), and nontoxic endophyte infected (NE; MaxQ; Pennington Seed, Inc., Madison, GA) Jesup tall fescue (Festuca arundinacea Schreb.) hay on digestion and N retention in steers. Hay composition (DM basis) was as follows: E+ (10.8% CP, 59.9% NDF, and 29.4% ADF), E- (11.8% CP, 58.5% NDF, and 28.4% ADF), and NE (11.6% CP, 58.6% NDF, and 28.3% ADF). Eight Polled Hereford steers (initial BW 240 +/- 9 kg) were used in a replicated, 3 x 3 Latin square design, with an extra steer allotted to each square. Steers were fed ad libitum for 14 d, followed by a 9-d adaptation to restricted intake (based on the animal with the lowest ad libitum intake for the square) and a 5-d fecal and urine collection. Water intake (20.2 L/d) and urine output (7.40 L/d) did not differ (P > 0.10) during the collection period. Plasma prolactin concentration was less (P < 0.05) for steers on the E+ hay (8.83 ng/mL) than for those on the E- hay (18.03 ng/mL) and intermediate for steers on the NE hay (12.65 ng/mL). Endophyte-infected hay differed (P < 0.05) from E- and NE in ad libitum DMI (5.02 vs. 5.62 and 5.61 kg/d, respectively) and ad libitum DMI as a percentage of BW (1.86 vs. 2.06 and 2.06%, respectively). Restricted DMI during the fecal and urine collection was lower (P < 0.05) for E+ hay than for E- (5.04 vs. 5.24 kg/d), and NE was intermediate (5.19 kg/d). Dry matter digestibility was lower (P < 0.05) for E+ compared with E- and NE (62.3 vs. 67.0 and 65.9%, respectively). Digestibility of ADF was lower (P < 0.05) for E+ than for E-, and was intermediate for NE (61.5, 66.0, and 63.9%, respectively). There were no differences for NDF, cellulose, or hemicellulose digestibilities among hay types. Crude protein digestibility was higher (P < 0.05) for E- and NE than for E+ (54.3 and 52.5 vs. 48.1%, respectively). Nitrogen retention was lower (P < 0.01) for E+ than for E- or NE (15.6 vs. 22.7 or 23.0 g/d, respectively). Hay type did not influence plasma urea N, urine urea N output, or urine urea N as a percentage of urinary N. Results from this study indicate that E+ tall fescue hay was lower in ad libitum DMI, DM digestibility, and N retention than NE or E- hays with similar chemical composition. Hay from NE and E- fescue had nearly identical composition, and did not differ for any variable measured.",https://www.ncbi.nlm.nih.gov/pubmed/15827262,2005,J Anim Sci,1.711,34
Effect of aggregation of horn fly populations within cattle herds and consequences for sampling to obtain unbiased estimates of abundance.,"Lysyk TJ, Steelman CD.","Reanalysis of counts of horn fly, Hematobia irritans (L.), obtained from a variety of cattle herds indicated that aggregation of the flies within herds decreased as mean fly density increased. Aggregation was also related to the proportion of fly-resistant and fly-susceptible cattle in a herd. Herds were grouped according to their degree of horn fly aggregation. Low aggregation herds included larger framed Angus, Horned Hereford, Polled Hereford, and Red Poll breeds. Moderate aggregation occurred with Brahman, Charolais, small-framed Angus, mixed cows, and Hereford x Charolais cross. High aggregation occurred with Chianina and mixed herds. Relationships between the sample means and variances varied among aggregation groups. A resampling approach was used to determine the influence of random sampling of a herd on the proportion of horn fly population estimates within fixed percentages of the true mean. The proportion of sample means within +/- 5, 10, 15, and 20% of the true means varied with the proportion of the herd sampled, the mean and variance of fly density, and herd size. Recommendations for obtaining sample size to estimate fly density within a fixed percentage of the true mean are given.",https://www.ncbi.nlm.nih.gov/pubmed/15311450,2004,J Med Entomol,1.968,6
